audience_cluster_key,audience_cluster_label,ads,unique_campaigns,date_first,date_last,age_modes,gender_modes,impressions,clicks,spent,total_conversion,approved_conversion,revenue,click_anomalies,conversion_anomalies,ctr,conversion_rate,cpc,cpa,roas,eligible_for_ranking
2_4_7,cluster_528,3,2,2017-08-20,2017-08-27,"30-34, 40-44","F, M",64417,7,11.80000019,8,4,80.0,0,2,0.00010866696679447971,0.5714285714285714,1.685714312857143,2.9500000475,6.779660907785121,True
29_34_30,cluster_512,3,2,2017-08-19,2017-08-29,"30-34, 35-39","F, M",75189,9,14.419999957,7,4,80.0,0,0,0.00011969836013246618,0.4444444444444444,1.6022222174444445,3.60499998925,5.547850224587903,True
29_31_35,cluster_500,4,2,2017-08-18,2017-08-29,"30-34, 35-39","F, M",51899,11,13.359999895000001,5,3,60.0,0,1,0.00021195013391394824,0.2727272727272727,1.2145454450000002,4.453333298333334,4.49101799936803,True
27_33_32,cluster_452,3,2,2017-08-19,2017-08-29,30-34,F,59051,13,20.29000032,5,3,60.0,0,0,0.00022014868503496978,0.23076923076923078,1.5607692553846155,6.76333344,2.957121688207051,True
16_17_17,cluster_160,3,1,2017-08-18,2017-08-25,"30-34, 40-44, 45-49","F, M",47809,11,16.449999814,3,2,40.0,0,0,0.0002300822020958397,0.18181818181818182,1.4954545285454548,8.224999907,2.431610969743443,True
16_19_22,cluster_177,4,1,2017-08-20,2017-08-23,"30-34, 35-39","F, M",135825,26,35.220000085,8,4,80.0,0,1,0.00019142278667402907,0.15384615384615385,1.3546153878846154,8.80500002125,2.271436678220553,True
10_14_13,cluster_055,5,2,2017-08-21,2017-08-25,"30-34, 35-39, 45-49","F, M",154876,23,35.660000682,5,4,80.0,0,1,0.00014850590149538987,0.17391304347826086,1.5504348122608698,8.9150001705,2.2434099402690526,True
15_18_20,cluster_144,3,2,2017-08-18,2017-08-27,"30-34, 40-44","F, M",363066,31,54.100000144999996,10,5,100.0,0,1,8.538392468586979e-05,0.16129032258064516,1.745161295,10.820000029,1.8484288305356344,True
63_64_66,cluster_673,3,2,2017-08-18,2017-08-21,"35-39, 40-44","F, M",69852,15,21.980000253,3,2,40.0,0,0,0.00021473973544064594,0.13333333333333333,1.4653333502,10.9900001265,1.8198361937935141,True
18_23_24,cluster_216,3,1,2017-08-21,2017-08-24,"30-34, 45-49","F, M",34898,9,11.199999868999999,5,1,20.0,0,0,0.0002578944352111869,0.1111111111111111,1.2444444298888888,11.199999868999999,1.7857143066007657,True
